ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP	SAMPLE_NAME
All Reads	ALL	28	63607757	92162	24	0.224681	7.4e-4	NA	NA	NA	BC09-T2
All Reads	ALL	29	72092623	112928	24	0.242904	7.23e-4	NA	NA	NA	BC09-T2
All Reads	ALL	30	80150381	136775	24	0.264621	7.16e-4	NA	NA	NA	BC09-T2
All Reads	ALL	31	87582575	163097	24	0.28877	7.15e-4	NA	NA	NA	BC09-T2
All Reads	ALL	32	94099516	190246	24	0.31351	7.19e-4	NA	NA	NA	BC09-T2
All Reads	ALL	33	99563693	217209	24	0.338299	7.26e-4	NA	NA	NA	BC09-T2
All Reads	ALL	34	103822748	244383	24	0.365008	7.38e-4	NA	NA	NA	BC09-T2
All Reads	ALL	35	107046720	276949	24	0.40119	7.62e-4	NA	NA	NA	BC09-T2
All Reads	ALL	36	109094349	310155	24	0.44086	7.92e-4	NA	NA	NA	BC09-T2
All Reads	ALL	37	109759029	335081	24	0.473406	8.18e-4	NA	NA	NA	BC09-T2
All Reads	ALL	38	108742561	359180	24	0.512196	8.55e-4	NA	NA	NA	BC09-T2
All Reads	ALL	39	106350740	380710	24	0.555108	9e-4	NA	NA	NA	BC09-T2
All Reads	ALL	40	102986732	390479	24	0.58795	9.41e-4	NA	NA	NA	BC09-T2
All Reads	ALL	41	98941479	397264	24	0.622622	9.88e-4	NA	NA	NA	BC09-T2
All Reads	ALL	42	94444701	405642	24	0.666023	0.001046	NA	NA	NA	BC09-T2
All Reads	ALL	43	89958166	404254	24	0.696847	0.001096	NA	NA	NA	BC09-T2
All Reads	ALL	44	85906450	400649	25	0.723206	0.001143	NA	NA	NA	BC09-T2
All Reads	ALL	45	82456226	395476	25	0.743739	0.001183	NA	NA	NA	BC09-T2
All Reads	ALL	46	79550344	399848	25	0.779429	0.001233	NA	NA	NA	BC09-T2
All Reads	ALL	47	77085421	402290	25	0.809265	0.001276	NA	NA	NA	BC09-T2
All Reads	ALL	48	74497370	402832	25	0.838507	0.001321	NA	NA	NA	BC09-T2
All Reads	ALL	49	71272749	408998	25	0.889859	0.001391	NA	NA	NA	BC09-T2
All Reads	ALL	50	67162836	415947	25	0.960357	0.001489	NA	NA	NA	BC09-T2
All Reads	ALL	51	62356075	418323	25	1.040296	0.001608	NA	NA	NA	BC09-T2
All Reads	ALL	52	57369069	429412	25	1.1607	0.001771	NA	NA	NA	BC09-T2
All Reads	ALL	53	52702057	439613	25	1.293501	0.001951	NA	NA	NA	BC09-T2
All Reads	ALL	54	48542265	463390	25	1.480302	0.002175	NA	NA	NA	BC09-T2
All Reads	ALL	55	44876597	479950	25	1.65844	0.002394	NA	NA	NA	BC09-T2
All Reads	ALL	56	41346578	503204	25	1.887245	0.00266	NA	NA	NA	BC09-T2
All Reads	ALL	57	37594432	529272	25	2.183128	0.003001	NA	NA	NA	BC09-T2
All Reads	ALL	58	33458358	555245	25	2.573379	0.003454	NA	NA	NA	BC09-T2
All Reads	ALL	59	28972655	573214	25	3.067978	0.004052	NA	NA	NA	BC09-T2
All Reads	ALL	60	24470214	580652	25	3.679611	0.004829	NA	NA	NA	BC09-T2
All Reads	ALL	61	20316562	587442	25	4.48372	0.00585	NA	NA	NA	BC09-T2
All Reads	ALL	62	16771816	582787	25	5.388322	0.007058	NA	NA	NA	BC09-T2
All Reads	ALL	63	13846719	571286	25	6.397797	0.008465	NA	NA	NA	BC09-T2
All Reads	ALL	64	11435727	554429	25	7.518062	0.010097	NA	NA	NA	BC09-T2
All Reads	ALL	65	9427296	525860	25	8.649814	0.011928	NA	NA	NA	BC09-T2
All Reads	ALL	66	7763602	481224	24	9.611867	0.013856	NA	NA	NA	BC09-T2
All Reads	ALL	67	6306729	447115	24	10.993572	0.016441	NA	NA	NA	BC09-T2
All Reads	ALL	68	5044172	390171	24	11.994685	0.019203	NA	NA	NA	BC09-T2
All Reads	ALL	69	4036063	337646	24	12.972612	0.022325	NA	NA	NA	BC09-T2
All Reads	ALL	70	3237424	286602	24	13.727877	0.025643	NA	NA	NA	BC09-T2
All Reads	ALL	71	2593527	231997	24	13.871242	0.028799	NA	NA	NA	BC09-T2
All Reads	ALL	72	2098727	193346	24	14.285748	0.032489	NA	NA	NA	BC09-T2
All Reads	ALL	73	1714316	158772	24	14.361731	0.036043	NA	NA	NA	BC09-T2
All Reads	ALL	74	1414431	130827	24	14.342979	0.039654	NA	NA	NA	BC09-T2
All Reads	ALL	75	1193116	109716	24	14.259722	0.04305	NA	NA	NA	BC09-T2
All Reads	ALL	76	1030236	94019	23	14.151506	0.046152	NA	NA	NA	BC09-T2
All Reads	ALL	77	906345	72963	23	12.4834	0.046215	NA	NA	NA	BC09-T2
All Reads	ALL	78	806223	56811	23	10.927002	0.045844	NA	NA	NA	BC09-T2
All Reads	ALL	79	704539	42807	23	9.421792	0.045538	NA	NA	NA	BC09-T2
All Reads	ALL	80	601018	33243	23	8.577021	0.047042	NA	NA	NA	BC09-T2
All Reads	ALL	81	504754	25235	23	7.752599	0.048803	NA	NA	NA	BC09-T2
All Reads	ALL	82	423484	19076	23	6.985123	0.050574	NA	NA	NA	BC09-T2
All Reads	ALL	83	348430	15253	22	6.788338	0.054965	NA	NA	NA	BC09-T2
All Reads	ALL	84	270044	8877	22	5.097479	0.054103	NA	NA	NA	BC09-T2
All Reads	ALL	85	195661	4810	22	3.812102	0.054966	NA	NA	NA	BC09-T2
All Reads	ALL	86	130371	3042	22	3.618278	0.065603	NA	NA	NA	BC09-T2
All Reads	ALL	87	84764	1775	21	3.247212	0.077075	NA	NA	NA	BC09-T2
All Reads	ALL	88	58468	1016	19	2.694631	0.084538	NA	NA	NA	BC09-T2
All Reads	ALL	89	38017	379	19	1.545913	0.079408	NA	NA	NA	BC09-T2
All Reads	ALL	90	24933	141	20	0.876937	0.073851	NA	NA	NA	BC09-T2
All Reads	ALL	91	15833	247	15	2.41912	0.153925	NA	NA	NA	BC09-T2
All Reads	ALL	92	9370	92	16	1.522551	0.158737	NA	NA	NA	BC09-T2
All Reads	ALL	93	5877	98	17	2.585795	0.261205	NA	NA	NA	BC09-T2
All Reads	ALL	94	3408	436	16	19.838583	0.950096	NA	NA	NA	BC09-T2
All Reads	ALL	95	1663	1110	15	103.503368	3.106655	NA	NA	NA	BC09-T2
All Reads	ALL	96	986	892	14	140.285148	4.697094	NA	NA	NA	BC09-T2
All Reads	ALL	97	658	2035	15	479.581337	10.631146	NA	NA	NA	BC09-T2
All Reads	ALL	98	328	2788	14	1318.082761	24.962972	NA	NA	NA	BC09-T2
All Reads	ALL	99	133	849	14	989.873741	33.972379	NA	NA	NA	BC09-T2
All Reads	ALL	100	339	0	0	0	0	NA	NA	NA	BC09-T2
All Reads	ALL	0	132619	20	15	0.015604	0.003489	NA	NA	NA	BC02-T
All Reads	ALL	1	95016	34	12	0.037025	0.00635	NA	NA	NA	BC02-T
All Reads	ALL	2	109250	40	14	0.037884	0.00599	NA	NA	NA	BC02-T
All Reads	ALL	3	139082	201	16	0.149533	0.010547	NA	NA	NA	BC02-T
All Reads	ALL	4	149438	107	14	0.074086	0.007162	NA	NA	NA	BC02-T
All Reads	ALL	5	152532	105	14	0.071226	0.006951	NA	NA	NA	BC02-T
All Reads	ALL	6	173446	244	15	0.145558	0.009318	NA	NA	NA	BC02-T
All Reads	ALL	7	187203	154	15	0.085118	0.006859	NA	NA	NA	BC02-T
All Reads	ALL	8	213554	123	14	0.059595	0.005373	NA	NA	NA	BC02-T
All Reads	ALL	9	241757	162	17	0.069334	0.005447	NA	NA	NA	BC02-T
All Reads	ALL	10	285954	200	18	0.072368	0.005117	NA	NA	NA	BC02-T
All Reads	ALL	11	351175	326	17	0.096052	0.00532	NA	NA	NA	BC02-T
All Reads	ALL	12	460264	367	18	0.082503	0.004307	NA	NA	NA	BC02-T
All Reads	ALL	13	609431	498	20	0.084551	0.003789	NA	NA	NA	BC02-T
All Reads	ALL	14	866131	677	21	0.080876	0.003108	NA	NA	NA	BC02-T
All Reads	ALL	15	1276991	1080	20	0.087508	0.002663	NA	NA	NA	BC02-T
All Reads	ALL	16	1912298	1961	20	0.106105	0.002396	NA	NA	NA	BC02-T
All Reads	ALL	17	2873264	3504	20	0.126183	0.002132	NA	NA	NA	BC02-T
All Reads	ALL	18	4310883	6144	20	0.147468	0.001881	NA	NA	NA	BC02-T
All Reads	ALL	19	6364320	10491	19	0.17056	0.001665	NA	NA	NA	BC02-T
All Reads	ALL	20	9194506	16182	19	0.18210200000000001	0.001432	NA	NA	NA	BC02-T
All Reads	ALL	21	12934834	25178	19	0.201406	0.001269	NA	NA	NA	BC02-T
All Reads	ALL	22	17664262	33748	21	0.197681	0.001076	NA	NA	NA	BC02-T
All Reads	ALL	23	23450931	44579	23	0.19669	9.32e-4	NA	NA	NA	BC02-T
All Reads	ALL	24	30272954	62722	23	0.214376	8.56e-4	NA	NA	NA	BC02-T
All Reads	ALL	25	37967796	85028	23	0.231717	7.95e-4	NA	NA	NA	BC02-T
All Reads	ALL	26	46244861	107860	24	0.241329	7.35e-4	NA	NA	NA	BC02-T
All Reads	ALL	27	54888845	133429	24	0.251523	6.89e-4	NA	NA	NA	BC02-T
All Reads	ALL	28	63607757	168221	24	0.273642	6.67e-4	NA	NA	NA	BC02-T
All Reads	ALL	29	72092623	203372	24	0.291885	6.47e-4	NA	NA	NA	BC02-T
All Reads	ALL	30	80150381	246216	24	0.31785	6.41e-4	NA	NA	NA	BC02-T
All Reads	ALL	31	87582575	288213	24	0.340493	6.34e-4	NA	NA	NA	BC02-T
All Reads	ALL	32	94099516	330043	24	0.362907	6.32e-4	NA	NA	NA	BC02-T
All Reads	ALL	33	99563693	373531	24	0.388184	6.35e-4	NA	NA	NA	BC02-T
All Reads	ALL	34	103822748	410969	24	0.40957	6.39e-4	NA	NA	NA	BC02-T
All Reads	ALL	35	107046720	452757	24	0.437627	6.5e-4	NA	NA	NA	BC02-T
All Reads	ALL	36	109094349	498800	24	0.473082	6.7e-4	NA	NA	NA	BC02-T
All Reads	ALL	37	109759029	531834	23	0.501358	6.87e-4	NA	NA	NA	BC02-T
All Reads	ALL	38	108742561	555414	23	0.528481	7.09e-4	NA	NA	NA	BC02-T
All Reads	ALL	39	106350740	572157	24	0.556656	7.36e-4	NA	NA	NA	BC02-T
All Reads	ALL	40	102986732	577958	24	0.580667	7.64e-4	NA	NA	NA	BC02-T
All Reads	ALL	41	98941479	586911	24	0.61377	8.01e-4	NA	NA	NA	BC02-T
All Reads	ALL	42	94444701	598147	24	0.655303	8.47e-4	NA	NA	NA	BC02-T
All Reads	ALL	43	89958166	600694	24	0.690915	8.91e-4	NA	NA	NA	BC02-T
All Reads	ALL	44	85906450	594666	24	0.716241	9.29e-4	NA	NA	NA	BC02-T
All Reads	ALL	45	82456226	597138	24	0.749313	9.7e-4	NA	NA	NA	BC02-T
All Reads	ALL	46	79550344	608596	24	0.791588	0.001015	NA	NA	NA	BC02-T
All Reads	ALL	47	77085421	617709	24	0.829132	0.001055	NA	NA	NA	BC02-T
All Reads	ALL	48	74497370	626924	24	0.870735	0.0011	NA	NA	NA	BC02-T
All Reads	ALL	49	71272749	641680	24	0.931552	0.001163	NA	NA	NA	BC02-T
All Reads	ALL	50	67162836	657174	24	1.012426	0.001249	NA	NA	NA	BC02-T
All Reads	ALL	51	62356075	662423	24	1.099179	0.001351	NA	NA	NA	BC02-T
All Reads	ALL	52	57369069	686889	24	1.238856	0.001495	NA	NA	NA	BC02-T
All Reads	ALL	53	52702057	715020	24	1.403791	0.00166	NA	NA	NA	BC02-T
All Reads	ALL	54	48542265	766557	24	1.633941	0.001866	NA	NA	NA	BC02-T
All Reads	ALL	55	44876597	809041	24	1.86536	0.002074	NA	NA	NA	BC02-T
All Reads	ALL	56	41346578	850241	24	2.12772	0.002308	NA	NA	NA	BC02-T
All Reads	ALL	57	37594432	894410	24	2.461643	0.002603	NA	NA	NA	BC02-T
All Reads	ALL	58	33458358	917590	24	2.837631	0.002962	NA	NA	NA	BC02-T
All Reads	ALL	59	28972655	952068	23	3.400099	0.003485	NA	NA	NA	BC02-T
All Reads	ALL	60	24470214	941248	23	3.979956	0.004102	NA	NA	NA	BC02-T
All Reads	ALL	61	20316562	936951	23	4.77176	0.00493	NA	NA	NA	BC02-T
All Reads	ALL	62	16771816	896395	23	5.530078	0.005841	NA	NA	NA	BC02-T
All Reads	ALL	63	13846719	835956	23	6.246669	0.006832	NA	NA	NA	BC02-T
All Reads	ALL	64	11435727	772037	23	6.985319	0.00795	NA	NA	NA	BC02-T
All Reads	ALL	65	9427296	685319	23	7.521727	0.009086	NA	NA	NA	BC02-T
All Reads	ALL	66	7763602	603144	23	8.038401	0.01035	NA	NA	NA	BC02-T
All Reads	ALL	67	6306729	534500	23	8.769109	0.011994	NA	NA	NA	BC02-T
All Reads	ALL	68	5044172	446579	23	9.160525	0.013708	NA	NA	NA	BC02-T
All Reads	ALL	69	4036063	373071	23	9.56413	0.015658	NA	NA	NA	BC02-T
All Reads	ALL	70	3237424	308625	23	9.863782	0.017755	NA	NA	NA	BC02-T
All Reads	ALL	71	2593527	244108	23	9.738749	0.019711	NA	NA	NA	BC02-T
All Reads	ALL	72	2098727	199395	22	9.830379	0.022015	NA	NA	NA	BC02-T
All Reads	ALL	73	1714316	156687	22	9.457014	0.023891	NA	NA	NA	BC02-T
All Reads	ALL	74	1414431	128867	23	9.426965	0.02626	NA	NA	NA	BC02-T
All Reads	ALL	75	1193116	111308	23	9.652852	0.028933	NA	NA	NA	BC02-T
All Reads	ALL	76	1030236	91716	23	9.211287	0.030416	NA	NA	NA	BC02-T
All Reads	ALL	77	906345	70671	23	8.067884	0.030349	NA	NA	NA	BC02-T
All Reads	ALL	78	806223	57067	23	7.32389	0.030658	NA	NA	NA	BC02-T
All Reads	ALL	79	704539	41811	22	6.140411	0.03003	NA	NA	NA	BC02-T
All Reads	ALL	80	601018	32919	23	5.667233	0.031235	NA	NA	NA	BC02-T
All Reads	ALL	81	504754	26045	22	5.338958	0.033082	NA	NA	NA	BC02-T
All Reads	ALL	82	423484	18980	22	4.637363	0.033661	NA	NA	NA	BC02-T
All Reads	ALL	83	348430	15910	22	4.724617	0.037457	NA	NA	NA	BC02-T
All Reads	ALL	84	270044	10620	22	4.069133	0.039486	NA	NA	NA	BC02-T
All Reads	ALL	85	195661	6508	22	3.441559	0.042661	NA	NA	NA	BC02-T
All Reads	ALL	86	130371	4148	21	3.292075	0.051115	NA	NA	NA	BC02-T
All Reads	ALL	87	84764	2732	20	3.334888	0.063803	NA	NA	NA	BC02-T
All Reads	ALL	88	58468	1352	20	2.392602	0.06507	NA	NA	NA	BC02-T
All Reads	ALL	89	38017	470	20	1.279181	0.059004	NA	NA	NA	BC02-T
All Reads	ALL	90	24933	240	21	0.995975	0.06429	NA	NA	NA	BC02-T
All Reads	ALL	91	15833	189	19	1.2351240000000001	0.089842	NA	NA	NA	BC02-T
All Reads	ALL	92	9370	45	20	0.496918	0.074076	NA	NA	NA	BC02-T
All Reads	ALL	93	5877	42	18	0.739444	0.114099	NA	NA	NA	BC02-T
All Reads	ALL	94	3408	281	16	8.531368	0.508939	NA	NA	NA	BC02-T
All Reads	ALL	95	1663	385	15	23.954131	1.220816	NA	NA	NA	BC02-T
All Reads	ALL	96	986	280	14	29.382791	1.755958	NA	NA	NA	BC02-T
All Reads	ALL	97	658	776	15	122.024704	4.380432	NA	NA	NA	BC02-T
All Reads	ALL	98	328	927	15	292.427241	9.604571	NA	NA	NA	BC02-T
All Reads	ALL	99	133	129	15	100.35754	8.835989	NA	NA	NA	BC02-T
All Reads	ALL	100	339	0	0	0	0	NA	NA	NA	BC02-T
All Reads	ALL	0	132619	43	15	0.038581	0.005884	NA	NA	NA	BC04-T2
All Reads	ALL	1	95016	35	13	0.043832	0.007409	NA	NA	NA	BC04-T2
All Reads	ALL	2	109250	29	13	0.031586	0.005865	NA	NA	NA	BC04-T2
All Reads	ALL	3	139082	175	18	0.149721	0.011318	NA	NA	NA	BC04-T2
All Reads	ALL	4	149438	113	15	0.089977	0.008464	NA	NA	NA	BC04-T2
All Reads	ALL	5	152532	253	14	0.197368	0.012408	NA	NA	NA	BC04-T2
All Reads	ALL	6	173446	743	16	0.509731	0.0187	NA	NA	NA	BC04-T2
All Reads	ALL	7	187203	775	17	0.492612	0.017695	NA	NA	NA	BC04-T2
All Reads	ALL	8	213554	203	16	0.113111	0.007939	NA	NA	NA	BC04-T2
All Reads	ALL	9	241757	319	17	0.15701	0.008791	NA	NA	NA	BC04-T2
All Reads	ALL	10	285954	302	18	0.125669	0.007231	NA	NA	NA	BC04-T2
All Reads	ALL	11	351175	308	16	0.104362	0.005947	NA	NA	NA	BC04-T2
All Reads	ALL	12	460264	332	17	0.085832	0.004711	NA	NA	NA	BC04-T2
All Reads	ALL	13	609431	624	19	0.121836	0.004877	NA	NA	NA	BC04-T2
All Reads	ALL	14	866131	566	18	0.077759	0.003268	NA	NA	NA	BC04-T2
All Reads	ALL	15	1276991	838	19	0.078086	0.002697	NA	NA	NA	BC04-T2
All Reads	ALL	16	1912298	1551	19	0.09651	0.002451	NA	NA	NA	BC04-T2
All Reads	ALL	17	2873264	2789	19	0.115502	0.002187	NA	NA	NA	BC04-T2
All Reads	ALL	18	4310883	4762	19	0.131444	0.001905	NA	NA	NA	BC04-T2
All Reads	ALL	19	6364320	7983	19	0.149255	0.001671	NA	NA	NA	BC04-T2
All Reads	ALL	20	9194506	11848	19	0.153332	0.001409	NA	NA	NA	BC04-T2
All Reads	ALL	21	12934834	18039	18	0.165946	0.001236	NA	NA	NA	BC04-T2
All Reads	ALL	22	17664262	23723	20	0.159805	0.001038	NA	NA	NA	BC04-T2
All Reads	ALL	23	23450931	31817	21	0.161442	9.05e-4	NA	NA	NA	BC04-T2
All Reads	ALL	24	30272954	44751	22	0.175899	8.32e-4	NA	NA	NA	BC04-T2
All Reads	ALL	25	37967796	60415	22	0.189341	7.7e-4	NA	NA	NA	BC04-T2
All Reads	ALL	26	46244861	78111	22	0.200986	7.19e-4	NA	NA	NA	BC04-T2
All Reads	ALL	27	54888845	96515	22	0.209231	6.73e-4	NA	NA	NA	BC04-T2
All Reads	ALL	28	63607757	120003	22	0.224491	6.48e-4	NA	NA	NA	BC04-T2
All Reads	ALL	29	72092623	145713	22	0.240505	6.3e-4	NA	NA	NA	BC04-T2
All Reads	ALL	30	80150381	175502	23	0.260551	6.22e-4	NA	NA	NA	BC04-T2
All Reads	ALL	31	87582575	207282	23	0.281618	6.19e-4	NA	NA	NA	BC04-T2
All Reads	ALL	32	94099516	238827	23	0.302004	6.18e-4	NA	NA	NA	BC04-T2
All Reads	ALL	33	99563693	272068	23	0.325157	6.23e-4	NA	NA	NA	BC04-T2
All Reads	ALL	34	103822748	301848	23	0.345949	6.3e-4	NA	NA	NA	BC04-T2
All Reads	ALL	35	107046720	336998	23	0.374602	6.45e-4	NA	NA	NA	BC04-T2
All Reads	ALL	36	109094349	376889	22	0.411081	6.7e-4	NA	NA	NA	BC04-T2
All Reads	ALL	37	109759029	404781	23	0.43883	6.9e-4	NA	NA	NA	BC04-T2
All Reads	ALL	38	108742561	429875	22	0.470391	7.17e-4	NA	NA	NA	BC04-T2
All Reads	ALL	39	106350740	453025	23	0.506871	7.53e-4	NA	NA	NA	BC04-T2
All Reads	ALL	40	102986732	460035	23	0.531527	7.84e-4	NA	NA	NA	BC04-T2
All Reads	ALL	41	98941479	464167	23	0.558228	8.19e-4	NA	NA	NA	BC04-T2
All Reads	ALL	42	94444701	470974	23	0.593383	8.65e-4	NA	NA	NA	BC04-T2
All Reads	ALL	43	89958166	466503	23	0.617064	9.03e-4	NA	NA	NA	BC04-T2
All Reads	ALL	44	85906450	463318	23	0.641755	9.43e-4	NA	NA	NA	BC04-T2
All Reads	ALL	45	82456226	457464	24	0.660161	9.76e-4	NA	NA	NA	BC04-T2
All Reads	ALL	46	79550344	460585	24	0.688944	0.001015	NA	NA	NA	BC04-T2
All Reads	ALL	47	77085421	469718	24	0.725072	0.001058	NA	NA	NA	BC04-T2
All Reads	ALL	48	74497370	476068	24	0.760404	0.001102	NA	NA	NA	BC04-T2
All Reads	ALL	49	71272749	486336	24	0.81195	0.001164	NA	NA	NA	BC04-T2
All Reads	ALL	50	67162836	496469	24	0.879588	0.001248	NA	NA	NA	BC04-T2
All Reads	ALL	51	62356075	500031	24	0.954189	0.001349	NA	NA	NA	BC04-T2
All Reads	ALL	52	57369069	520860	24	1.080337	0.001497	NA	NA	NA	BC04-T2
All Reads	ALL	53	52702057	538726	24	1.216344	0.001657	NA	NA	NA	BC04-T2
All Reads	ALL	54	48542265	570621	24	1.398762	0.001852	NA	NA	NA	BC04-T2
All Reads	ALL	55	44876597	599013	24	1.5883	0.002052	NA	NA	NA	BC04-T2
All Reads	ALL	56	41346578	642898	24	1.8502	0.002308	NA	NA	NA	BC04-T2
All Reads	ALL	57	37594432	690990	24	2.187078	0.002631	NA	NA	NA	BC04-T2
All Reads	ALL	58	33458358	732800	24	2.606135	0.003044	NA	NA	NA	BC04-T2
All Reads	ALL	59	28972655	769612	24	3.160819	0.003603	NA	NA	NA	BC04-T2
All Reads	ALL	60	24470214	789152	24	3.837417	0.00432	NA	NA	NA	BC04-T2
All Reads	ALL	61	20316562	812841	24	4.760707	0.00528	NA	NA	NA	BC04-T2
All Reads	ALL	62	16771816	815904	24	5.788621	0.006408	NA	NA	NA	BC04-T2
All Reads	ALL	63	13846719	812613	24	6.983176	0.007747	NA	NA	NA	BC04-T2
All Reads	ALL	64	11435727	799878	24	8.322927	0.009306	NA	NA	NA	BC04-T2
All Reads	ALL	65	9427296	771254	24	9.734786	0.011085	NA	NA	NA	BC04-T2
All Reads	ALL	66	7763602	714065	24	10.944366	0.012952	NA	NA	NA	BC04-T2
All Reads	ALL	67	6306729	665252	24	12.551572	0.015389	NA	NA	NA	BC04-T2
All Reads	ALL	68	5044172	585331	24	13.807904	0.018048	NA	NA	NA	BC04-T2
All Reads	ALL	69	4036063	507906	23	14.974127	0.021011	NA	NA	NA	BC04-T2
All Reads	ALL	70	3237424	430643	23	15.828287	0.02412	NA	NA	NA	BC04-T2
All Reads	ALL	71	2593527	354958	23	16.285545	0.027335	NA	NA	NA	BC04-T2
All Reads	ALL	72	2098727	297502	23	16.867474	0.030925	NA	NA	NA	BC04-T2
All Reads	ALL	73	1714316	243730	23	16.917424	0.034267	NA	NA	NA	BC04-T2
All Reads	ALL	74	1414431	198059	23	16.662069	0.03744	NA	NA	NA	BC04-T2
All Reads	ALL	75	1193116	163574	23	16.313521	0.040336	NA	NA	NA	BC04-T2
All Reads	ALL	76	1030236	138513	23	15.998156	0.042986	NA	NA	NA	BC04-T2
All Reads	ALL	77	906345	105643	22	13.86958	0.042672	NA	NA	NA	BC04-T2
All Reads	ALL	78	806223	81850	22	12.080353	0.042225	NA	NA	NA	BC04-T2
All Reads	ALL	79	704539	59325	22	10.019564	0.041137	NA	NA	NA	BC04-T2
All Reads	ALL	80	601018	43493	22	8.610889	0.041289	NA	NA	NA	BC04-T2
All Reads	ALL	81	504754	31671	22	7.466174	0.041953	NA	NA	NA	BC04-T2
All Reads	ALL	82	423484	20735	22	5.82617	0.04046	NA	NA	NA	BC04-T2
All Reads	ALL	83	348430	14794	22	5.052266	0.041538	NA	NA	NA	BC04-T2
All Reads	ALL	84	270044	8523	21	3.755555	0.04068	NA	NA	NA	BC04-T2
All Reads	ALL	85	195661	3848	21	2.340167	0.037725	NA	NA	NA	BC04-T2
All Reads	ALL	86	130371	2314	20	2.112022	0.043905	NA	NA	NA	BC04-T2
All Reads	ALL	87	84764	1136	19	1.594715	0.047314	NA	NA	NA	BC04-T2
All Reads	ALL	88	58468	538	19	1.094914	0.047205	NA	NA	NA	BC04-T2
All Reads	ALL	89	38017	209	21	0.654161	0.045249	NA	NA	NA	BC04-T2
All Reads	ALL	90	24933	85	21	0.405658	0.044	NA	NA	NA	BC04-T2
All Reads	ALL	91	15833	265	21	1.991585	0.122342	NA	NA	NA	BC04-T2
All Reads	ALL	92	9370	110	20	1.396913	0.13319	NA	NA	NA	BC04-T2
All Reads	ALL	93	5877	91	17	1.842476	0.193144	NA	NA	NA	BC04-T2
All Reads	ALL	94	3408	568	16	19.831925	0.832129	NA	NA	NA	BC04-T2
All Reads	ALL	95	1663	1457	15	104.251765	2.731201	NA	NA	NA	BC04-T2
All Reads	ALL	96	986	1215	14	146.62751600000001	4.206562	NA	NA	NA	BC04-T2
All Reads	ALL	97	658	2870	15	519.005688	9.687934	NA	NA	NA	BC04-T2
All Reads	ALL	98	328	4395	14	1594.414189	24.050367	NA	NA	NA	BC04-T2
All Reads	ALL	99	133	995	14	890.199927	28.221235	NA	NA	NA	BC04-T2
All Reads	ALL	100	339	0	0	0	0	NA	NA	NA	BC04-T2
All Reads	ALL	0	132619	7	15	0.008277	0.003128	NA	NA	NA	BC12-P1
All Reads	ALL	1	95016	43	10	0.070967	0.010822	NA	NA	NA	BC12-P1
All Reads	ALL	2	109250	15	10	0.02153	0.005559	NA	NA	NA	BC12-P1
All Reads	ALL	3	139082	207	14	0.23339	0.016222	NA	NA	NA	BC12-P1
All Reads	ALL	4	149438	29	14	0.030431	0.005651	NA	NA	NA	BC12-P1
All Reads	ALL	5	152532	71	13	0.072993	0.008663	NA	NA	NA	BC12-P1
All Reads	ALL	6	173446	202	14	0.182629	0.01285	NA	NA	NA	BC12-P1
All Reads	ALL	7	187203	194	15	0.162507	0.011667	NA	NA	NA	BC12-P1
All Reads	ALL	8	213554	60	14	0.044058	0.005688	NA	NA	NA	BC12-P1
All Reads	ALL	9	241757	110	15	0.07135	0.006803	NA	NA	NA	BC12-P1
All Reads	ALL	10	285954	154	17	0.084451	0.006805	NA	NA	NA	BC12-P1
All Reads	ALL	11	351175	167	16	0.074572	0.005771	NA	NA	NA	BC12-P1
All Reads	ALL	12	460264	148	18	0.050424	0.004145	NA	NA	NA	BC12-P1
All Reads	ALL	13	609431	255	18	0.065614	0.004109	NA	NA	NA	BC12-P1
All Reads	ALL	14	866131	402	20	0.072782	0.00363	NA	NA	NA	BC12-P1
All Reads	ALL	15	1276991	570	21	0.069995	0.002932	NA	NA	NA	BC12-P1
All Reads	ALL	16	1912298	1310	20	0.107423	0.002968	NA	NA	NA	BC12-P1
All Reads	ALL	17	2873264	2071	21	0.113028	0.002484	NA	NA	NA	BC12-P1
All Reads	ALL	18	4310883	3880	20	0.141139	0.002266	NA	NA	NA	BC12-P1
All Reads	ALL	19	6364320	6162	21	0.151828	0.001934	NA	NA	NA	BC12-P1
All Reads	ALL	20	9194506	9821	21	0.167498	0.00169	NA	NA	NA	BC12-P1
All Reads	ALL	21	12934834	14936	21	0.181074	0.001482	NA	NA	NA	BC12-P1
All Reads	ALL	22	17664262	21058	22	0.186941	0.001288	NA	NA	NA	BC12-P1
All Reads	ALL	23	23450931	29431	24	0.196801	0.001147	NA	NA	NA	BC12-P1
All Reads	ALL	24	30272954	39791	24	0.206116	0.001033	NA	NA	NA	BC12-P1
All Reads	ALL	25	37967796	54009	24	0.223066	9.6e-4	NA	NA	NA	BC12-P1
All Reads	ALL	26	46244861	71957	24	0.244001	9.1e-4	NA	NA	NA	BC12-P1
All Reads	ALL	27	54888845	89504	25	0.255706	8.55e-4	NA	NA	NA	BC12-P1
All Reads	ALL	28	63607757	112032	25	0.276194	8.25e-4	NA	NA	NA	BC12-P1
All Reads	ALL	29	72092623	137751	25	0.299631	8.07e-4	NA	NA	NA	BC12-P1
