ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP	SAMPLE_NAME
All Reads	ALL	62	16771816	480147	24	5.613142	0.008101	NA	NA	NA	BC20-T2
All Reads	ALL	63	13846719	469573	24	6.64918	0.009703	NA	NA	NA	BC20-T2
All Reads	ALL	64	11435727	456574	24	7.828152	0.011585	NA	NA	NA	BC20-T2
All Reads	ALL	65	9427296	432539	24	8.996012	0.013678	NA	NA	NA	BC20-T2
All Reads	ALL	66	7763602	395966	24	10.00015	0.015892	NA	NA	NA	BC20-T2
All Reads	ALL	67	6306729	365460	24	11.361811	0.018794	NA	NA	NA	BC20-T2
All Reads	ALL	68	5044172	317023	24	12.322895	0.021886	NA	NA	NA	BC20-T2
All Reads	ALL	69	4036063	272469	23	13.236435	0.025358	NA	NA	NA	BC20-T2
All Reads	ALL	70	3237424	227448	23	13.775089	0.028884	NA	NA	NA	BC20-T2
All Reads	ALL	71	2593527	180411	23	13.63905	0.032111	NA	NA	NA	BC20-T2
All Reads	ALL	72	2098727	146352	23	13.67271	0.03574	NA	NA	NA	BC20-T2
All Reads	ALL	73	1714316	119058	23	13.616942	0.039464	NA	NA	NA	BC20-T2
All Reads	ALL	74	1414431	96013	23	13.309451	0.042953	NA	NA	NA	BC20-T2
All Reads	ALL	75	1193116	78887	23	12.963869	0.046156	NA	NA	NA	BC20-T2
All Reads	ALL	76	1030236	67357	23	12.81911	0.049393	NA	NA	NA	BC20-T2
All Reads	ALL	77	906345	52802	22	11.422698	0.04971	NA	NA	NA	BC20-T2
All Reads	ALL	78	806223	41458	22	10.082426	0.049518	NA	NA	NA	BC20-T2
All Reads	ALL	79	704539	31523	22	8.772722	0.049411	NA	NA	NA	BC20-T2
All Reads	ALL	80	601018	24888	22	8.119222	0.051466	NA	NA	NA	BC20-T2
All Reads	ALL	81	504754	18942	22	7.357969	0.053462	NA	NA	NA	BC20-T2
All Reads	ALL	82	423484	14395	22	6.664791	0.05555	NA	NA	NA	BC20-T2
All Reads	ALL	83	348430	10964	22	6.169719	0.058922	NA	NA	NA	BC20-T2
All Reads	ALL	84	270044	6856	21	4.977923	0.060119	NA	NA	NA	BC20-T2
All Reads	ALL	85	195661	3592	20	3.599515	0.060059	NA	NA	NA	BC20-T2
All Reads	ALL	86	130371	2344	21	3.525238	0.072813	NA	NA	NA	BC20-T2
All Reads	ALL	87	84764	1184	20	2.738748	0.079593	NA	NA	NA	BC20-T2
All Reads	ALL	88	58468	624	19	2.092561	0.08377	NA	NA	NA	BC20-T2
All Reads	ALL	89	38017	211	18	1.088219	0.074916	NA	NA	NA	BC20-T2
All Reads	ALL	90	24933	90	20	0.70775	0.074603	NA	NA	NA	BC20-T2
All Reads	ALL	91	15833	195	19	2.414812	0.172928	NA	NA	NA	BC20-T2
All Reads	ALL	92	9370	74	15	1.548474	0.180006	NA	NA	NA	BC20-T2
All Reads	ALL	93	5877	59	19	1.968377	0.256261	NA	NA	NA	BC20-T2
All Reads	ALL	94	3408	387	17	22.265028	1.131795	NA	NA	NA	BC20-T2
All Reads	ALL	95	1663	956	15	112.713911	3.645428	NA	NA	NA	BC20-T2
All Reads	ALL	96	986	831	15	165.247913	5.732387	NA	NA	NA	BC20-T2
All Reads	ALL	97	658	1975	15	588.508963	13.242486	NA	NA	NA	BC20-T2
All Reads	ALL	98	328	2734	14	1634.317917	31.25628	NA	NA	NA	BC20-T2
All Reads	ALL	99	133	756	15	1114.505023	40.534156	NA	NA	NA	BC20-T2
All Reads	ALL	100	339	0	0	0	0	NA	NA	NA	BC20-T2
All Reads	ALL	0	132619	54	16	0.0345	0.004695	NA	NA	NA	BC20-T1
All Reads	ALL	1	95016	49	12	0.043695	0.006242	NA	NA	NA	BC20-T1
All Reads	ALL	2	109250	43	13	0.033349	0.005086	NA	NA	NA	BC20-T1
All Reads	ALL	3	139082	290	16	0.176668	0.010374	NA	NA	NA	BC20-T1
All Reads	ALL	4	149438	171	15	0.096954	0.007414	NA	NA	NA	BC20-T1
All Reads	ALL	5	152532	280	13	0.155535	0.009295	NA	NA	NA	BC20-T1
All Reads	ALL	6	173446	781	15	0.38152	0.013652	NA	NA	NA	BC20-T1
All Reads	ALL	7	187203	742	17	0.335832	0.012329	NA	NA	NA	BC20-T1
All Reads	ALL	8	213554	251	16	0.099586	0.006286	NA	NA	NA	BC20-T1
All Reads	ALL	9	241757	386	17	0.135282	0.006886	NA	NA	NA	BC20-T1
All Reads	ALL	10	285954	377	18	0.111706	0.005753	NA	NA	NA	BC20-T1
All Reads	ALL	11	351175	422	15	0.101817	0.004956	NA	NA	NA	BC20-T1
All Reads	ALL	12	460264	499	17	0.09186	0.004112	NA	NA	NA	BC20-T1
All Reads	ALL	13	609431	885	18	0.123041	0.004136	NA	NA	NA	BC20-T1
All Reads	ALL	14	866131	1020	19	0.099781	0.003124	NA	NA	NA	BC20-T1
All Reads	ALL	15	1276991	1602	18	0.106293	0.002656	NA	NA	NA	BC20-T1
All Reads	ALL	16	1912298	2868	18	0.127073	0.002373	NA	NA	NA	BC20-T1
All Reads	ALL	17	2873264	4827	18	0.142342	0.002049	NA	NA	NA	BC20-T1
All Reads	ALL	18	4310883	8649	18	0.169993	0.001828	NA	NA	NA	BC20-T1
All Reads	ALL	19	6364320	14496	18	0.192987	0.001603	NA	NA	NA	BC20-T1
All Reads	ALL	20	9194506	21772	18	0.200632	0.00136	NA	NA	NA	BC20-T1
All Reads	ALL	21	12934834	32095	17	0.210236	0.001174	NA	NA	NA	BC20-T1
All Reads	ALL	22	17664262	40709	19	0.195266	9.68e-4	NA	NA	NA	BC20-T1
All Reads	ALL	23	23450931	55270	21	0.199692	8.49e-4	NA	NA	NA	BC20-T1
All Reads	ALL	24	30272954	74272	21	0.207875	7.63e-4	NA	NA	NA	BC20-T1
All Reads	ALL	25	37967796	99641	21	0.222358	7.04e-4	NA	NA	NA	BC20-T1
All Reads	ALL	26	46244861	128831	21	0.236041	6.58e-4	NA	NA	NA	BC20-T1
