MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	LIBRARY	SAMPLE_NAME
200	171	53	2	242605141	213.75728	85.376643	16113633	FR	21	41	63	83	107	133	161	201	271	357	569	NA	BC07-T2
176	167	17	2	245612469	186.879184	50.767735	7418785	FR	7	13	19	25	35	47	65	111	301	361	619	NA	BC08-P1
174	167	17	2	243087067	186.348232	51.654078	15652122	FR	7	13	19	25	35	47	67	129	315	375	675	NA	BC01-P1
172	146	42	2	246258563	182.662709	68.120117	6546572	FR	17	33	49	67	85	105	129	159	215	281	441	NA	BC01-T2
176	167	19	2	235027175	198.17447	64.241016	8230261	FR	7	15	21	29	39	55	85	273	357	455	811	NA	BC05-P1
172	167	16	2	243082723	177.948943	43.928517	6024025	FR	7	11	17	25	33	47	65	119	327	409	821	NA	BC17-P1
172	167	15	2	243082493	177.25724	39.367453	5195779	FR	7	11	17	23	31	41	57	85	277	341	567	NA	BC13-P1
175	153	44	2	235856544	186.713748	71.398474	8697136	FR	17	35	51	69	89	111	135	167	225	295	461	NA	BC08-T2
169	166	17	2	243082513	176.711232	46.410463	6104496	FR	5	11	17	25	35	45	61	95	293	371	729	NA	BC16-P1
170	167	15	2	243087109	172.015431	36.774647	5113606	FR	5	11	15	23	31	41	55	79	211	319	451	NA	BC07-P1
173	144	48	2	228033824	185.283871	76.637725	8017227	FR	19	37	57	77	97	121	147	179	239	315	491	NA	BC13-T
169	146	47	2	241648382	181.974665	75.450341	9731957	FR	19	37	55	75	95	117	143	177	235	311	487	NA	BC09-T
156	131	43	2	230609431	167.240465	68.805301	5699750	FR	17	33	51	69	87	107	131	163	215	283	447	NA	BC08-T
170	167	14	2	243087060	172.445279	33.358827	7359876	FR	5	11	15	21	29	39	53	81	281	339	579	NA	BC03-P1
221	186	65	2	243087079	236.091485	100.212419	39677694	FR	25	51	77	103	131	161	195	239	315	409	629	NA	BC20-N
196	167	52	2	240152048	210.860377	83.666406	7730386	FR	21	41	61	83	105	129	157	193	265	351	551	NA	BC17-N
184	160	48	2	210264574	197.268792	76.429241	3474725	FR	19	37	57	75	97	119	143	177	239	321	499	NA	BC10-N
187	160	52	2	225724386	200.952095	83.082104	10949581	FR	21	41	61	83	105	131	159	195	259	341	533	NA	BC02-N
226	184	64	2	223477711	240.708644	98.647154	7862660	FR	25	51	75	103	129	159	193	235	309	399	607	NA	BC18-N
184	149	52	2	242556255	197.733862	82.12661	10580652	FR	21	41	61	83	105	129	157	191	255	337	529	NA	BC04-N
185	156	52	2	238190177	199.068118	83.596293	10988287	FR	21	41	61	83	105	129	157	193	257	343	555	NA	BC09-N
186	153	52	2	237211143	199.786938	82.864852	11936908	FR	21	41	61	83	105	129	157	193	257	339	535	NA	BC06-N
187	159	52	2	238883140	200.640217	83.487455	9660929	FR	21	41	61	83	105	131	159	195	259	341	543	NA	BC08-N
222	179	64	2	227911668	237.29334	98.754834	16062019	FR	25	51	75	103	129	159	193	237	309	401	609	NA	BC14-N
232	192	67	2	228940950	247.774482	102.891522	8070424	FR	27	53	79	107	135	167	201	245	323	419	633	NA	BC15-N
189	156	54	2	232022085	203.572189	85.495977	10249222	FR	21	43	63	85	109	133	161	199	265	351	557	NA	BC07-N
185	154	51	2	230801602	197.833678	81.525428	10462097	FR	21	41	61	81	103	127	155	191	253	333	527	NA	BC01-N
218	185	61	2	231873352	232.222229	93.085971	8377372	FR	25	47	71	97	123	151	183	223	293	379	573	NA	BC21-N
186	156	52	2	228295670	199.248829	81.983225	11065127	FR	21	41	61	83	105	129	157	193	255	335	525	NA	BC12-N
183	161	46	2	237662374	195.078848	73.890497	4045648	FR	19	37	55	73	93	115	141	175	233	305	475	NA	BC05-N
185	153	52	2	240474121	197.888233	81.948399	11376786	FR	21	41	61	83	105	129	157	193	255	335	521	NA	BC13-N
206	170	54	2	226831267	223.043533	92.243831	6814037	FR	21	43	65	87	109	135	165	205	285	391	667	NA	BC16-N
187	159	52	2	229328368	199.854475	82.062395	11471209	FR	21	41	61	83	105	129	157	193	255	335	519	NA	BC03-N
