CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	LIBRARY	SAMPLE_NAME
SECOND_OF_PAIR	10114338	10114338	1	0	10098115	0.998396	1220128210	9784078	1184699449	1122522052	0	0.005818	0.005632	1.24e-4	125	10097383	0.999928	72597	0.007189	0	0.482931	0.00909	2e-6	NA	BC10-T2
PAIR	20228676	20228676	1	0	20211721	0.999162	2449248151	19591577	2378529693	2290494645	0	0.004364	0.004179	1.25e-4	125	20194766	0.999161	160685	0.00795	0	0.499876	0.008512	2e-6	NA	BC10-T2
FIRST_OF_PAIR	20270432	20270432	1	0	20269561	0.999957	2541645562	19648691	2465640596	2428766491	0	0.002436	0.002293	1.33e-4	126	20139382	0.993578	566894	0.027968	0	0.491358	0.007684	3e-6	NA	BC04-P1
SECOND_OF_PAIR	20270432	20270432	1	0	20140250	0.993578	2507873210	19499420	2431711035	2298843282	0	0.006122	0.005937	1.36e-4	126	20139382	0.999957	437583	0.021727	0	0.50821	0.008132	4.2e-5	NA	BC04-P1
PAIR	40540864	40540864	1	0	40409811	0.996767	5049518772	39148111	4897351631	4727609773	0	0.004267	0.004102	1.34e-4	126	40278764	0.996757	1004477	0.024857	0	0.499757	0.007907	2.3e-5	NA	BC04-P1
FIRST_OF_PAIR	19341697	19341697	1	0	19340234	0.999924	2421631288	18696910	2342957243	2309073062	0	0.002195	0.002045	1.17e-4	126	19241456	0.994893	2869403	0.148364	0	0.487654	0.009374	1e-5	NA	BC21-P1
SECOND_OF_PAIR	19341697	19341697	1	0	19242887	0.994891	2398851514	18576079	2319192752	2219821346	0	0.004833	0.004624	1.17e-4	126	19241456	0.999926	2772056	0.144056	0	0.511923	0.009842	4e-5	NA	BC21-P1
PAIR	38683394	38683394	1	0	38583121	0.997408	4820482802	37272989	4662149995	4528894408	0	0.003508	0.003328	1.17e-4	126	38482912	0.997403	5641459	0.146216	0	0.499758	0.009607	2.5e-5	NA	BC21-P1
FIRST_OF_PAIR	11026763	11026763	1	0	11026021	0.999933	1381345635	10653629	1335534569	1315034019	0	0.00217	0.002017	1.12e-4	126	11006075	0.998191	1351416	0.122566	0	0.492746	0.012979	2e-6	NA	BC06-P1
SECOND_OF_PAIR	11026763	11026763	1	0	11006813	0.998191	1377271248	10627885	1331110517	1291326792	0	0.003446	0.003262	1.13e-4	126	11006075	0.999933	1332208	0.121035	0	0.506694	0.013086	4e-6	NA	BC06-P1
